id,resourceType,title,description,startDate,endDate,Month,Year,Area/Region,Location,State 1,State 2-?,reference/s,EM-DAT?,Report,Journals,Databases,Websites,Newspaper,Missing data,Evacuated,Affected,Homeless,Injuries,Deaths,Insured Cost,Reported cost,Calls to SES,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Roads,Ports,Environmental,Male death,Female death,Children,Adults,Elderly,url,References,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
494,Flood,Flood - Mackay,"During the period 10 - 18 February 2008, a number of severe weather fronts permeated numerous areas including the western, far north, central and south-east regions of Queensland. Towns seriously affected by the weather included Townsville, Bundaberg, Mackay, Rockhampton, Airlie Beach, Proserpine, Cooktown, Cairns and Ingham. Heavy rainfall and subsequent flooding resulted in widespread damage across the state of Queensland. There was notable damage to state infrastructure as well as other damage relating to buildings and houses. At Mackay 4000 houses were inundated from flood water. Agriculture and horticulture based industries also sustained heavy losses.  The Insurance Council of Australia estimated the 2008&nbsp;damage at $410 million, with the 2011 estimated normalised cost of $507 million.",14/02/2008,17/02/2008,February,2008,Mackay,Queensland,Queensland,,"EM-Track; EM-DAT (2 deaths); ICA; Apan et al., (2010); http://www.abc.net.au/local/stories/2008/02/20/2167581.htm",11,,,,,,2,,,,,,410000000,,2000,,,4000,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=494,EM-Track,EM-DAT (2 deaths),9,28,33,54,,,,,,,,ICA,"Apan et al., (2010)",
,Flood,,,20/11/2008,23/11/2008,November,2008,Brisbane region,Queensland,Queensland,,EM-DAT (4 deaths); http://www.theage.com.au/national/woman-swept-to-her-death-by-floodwaters-20081120-6bs7.html (1 death),1,,,,,,2,,,,,,,275000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT (4 deaths),,18,,,,,,,,,,,,,
,Heatwave,,,3/03/2008,16/03/2008,March,2008,Adelaide,South Australia,South Australia,,"Nitchske et al., 2010; PDF - newspaper",,,,,,,2,,,,221,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nitchske et al., 2010",,22,,,,,,,,,,,,,
493,Severe Storm,Severe Storm - Southern States Windstorms,"Victoria  On 2 April&nbsp;2008 very strong northerly winds developed across central and western Victoria. Maximum wind gusts in Victoria were recorded at Mt Gellibrand at 131 km per hour, Dunns Hill in the Dandenongs at 115 km per hour and Melbourne Airport 107 km per hour.  Areas of raised dust were reported from the western half of the state, with visibility down to 200 m in some places.  The heaviest rainfall totals were from Falls Creek (Rocky Valley Dam) with 50 mm and Wilsons Promontory with 26 mm. The storm sent vegetation and debris flying, caused major disruption to Melbourne traffic and public transport systems and&nbsp;extensive damage to the electricity distribution network. Lanes were closed on the Westgate bridge where wind gusts were close to 120 km per hour, many traffic lights were out and conditions on the roads were chaotic. Several boats were washed ashore at Mornington, where large waves were observed.  There were reports that two people died as a result of this storm in Victoria.  More than 9,500 requests for assistance were received by emergency service agencies across the State between 2-7 April 2008 as a result of this event.  The Department of Human Services (DHS) coordinated Red Cross and local government to support the community with recovery, distributing 864 personal hardship grants totalling $240,115.  South Australia  An intense low on 2 April produced widespread wind gusts in excess of 90 km per hour across the Mount Lofty Ranges, Kangaroo Island and the South East districts of South Australia.  Tasmania  A deep low pressure system passed close to Tasmania bringing destructive winds from late 2nd April until early the next day with individual wind gusts well over 100 km per hour recorded at several locations. More than 40,000 premises lost power with at least 200 fallen power lines caused road closures. Many buildings lost their roofs. The pressure at Maatsuyker Island dipped to 966.2 hPa on 3 April the second lowest mean sea level pressure ever reported in Tasmania. Strong and gusty winds on 2 April caused a dust storm in the southern Midlands.  The estimated damage bill was around two million dollars.  The Insurance Council of Australia estimated the 2008 damage at $65 million across the three states, with the 2011&nbsp;estimated normalised cost of $79 million.",2/04/2008,2/04/2008,April,2008,Southern States Windstorms,Tasmania;South Australia;Victoria,Tasmania,South Australia;Victoria,EM-Track; ICA; http://www.theaustralian.com.au/archive/news/wild-windstorms-roll-across-south/story-e6frg6of-1111115959594,,,,,,,2,,,,,2,65000000,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,http://www.emknowledge.gov.au/resource/?id=493,EM-Track,ICA,9,14,,,,,,,,,,,,
491,Severe Storm,Severe Storm - South-East Queensland Nov 2008,"Between 16 and 22 November 2008 heavy rains and subsequent flooding affected the Brisbane region and surrounding areas. A surface trough developed through inland Queensland and combined with an upper level trough system to deliver severe thunderstorms and flood rainfall across parts of south-east Queensland. The system affected multiple towns including Ipswich, Lockyer Valley, Bundamba, Tallagalla, Forest Hill and Ebbw Vale.  The heavy deluge produced significant rainfall over the catchment areas, which resulted in rapid river rises and consequent flooding. There was widespread damage to infrastructure including roads, railway lines and bridges as well as buildings and houses. Furthermore, many vehicles were damaged due to the rapid rise in rivers and creeks.  A person died when their car was swept away by floodwaters at a crossing on Laidley Creek at Forest Hill near Gatton.  The Insurance Council of Australia estimated the 2008 damage at $309 million, with the 2011 estimated normalised cost of $355 million.",16/11/2008,22/11/2008,November,2008,South-East Queensland Nov 2008,Queensland,Queensland,,EM-Track; EM-DAT; ICA; PDF - newspaper; QLD flood history,11,,,,,,2,,,,,1,309000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=491,EM-Track,EM-DAT,9,17,22,39,,,,,,,,ICA,PDF - newspaper,
482,Bushfire,Bushfire - Black Saturday Victoria,"On 7 February 2009 as many as 400 fires were recorded across Victoria. There were 78 communities affected, 173 lives lost and 2029 homes destroyed.  Twelve major fires and many more minor fires burned over 450,000 hectares and affected at least 78 communities, including Marysville, Kinglake, Kinglake West, Kilmore, Yea, Murrindindi, Alexandra, Marysville, St Andrews, Reedy Creek, Mittons Bridge, Humevale, Heathcote Junction, Flowerdale, Beechworth, Dargo, Bunyip, Mudgegonga, Narbethong, Cambarville, Koornalla, Jerralang Junction, Churchill, Callignee, Yarra Glen, Whittlesea, Upper Plenty, Toolangi, Strath Creek, Strathewen, Steels Creek, Bendigo and Redesdale.  Details of the recovery activities were released by the Victorian Bushfire Reconstruction and Recovery Authority. The Victorian Bushfires Royal Commission was established on 16 February 2009 to investigate the causes of and responses to the bushfires with the final report released and published in July 2010.  The Insurance Council of Australia estimated the 2009 damage at $1070 million, with the 2011 estimated normalised cost of $1266 million.",7/02/2009,8/02/2009,February,2009,Black Saturday Victoria,Victoria,Victoria,,EM-Track; ICA; *Get info from JH* ; EM-DAT,37,,,,,,,,,,414,173,1070000000,4400000000,,,,,2029,,,,,,,,,,,,61,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=482,EM-Track,ICA,9,14,35,,,,,,,,,*Get info from JH* ,,
481,Flood,Flood - North Queensland Feb 2009,"As a result of Tropical Cyclone Ellie, flooding in Queensland affected the townships between Townsville and Cairns. In addition further heavy rain fell between 6 and 7 February, with Ingham receiving 236 mm, raising the floodwater level to over 12.5 metres.  The monsoonal rain in North Queensland affected 62 per cent of the State. One of the heaviest falls was in Clonclurry which recorded more than 400 mm.&nbsp;An area of over one million square km was declared a disaster zone as flood waters continued to rise.  The Insurance Council of Australia estimated the 2009 damage at $19 million with the 2012 estimated normalised cost of $22 million.  This is the combined total for resulting floods from two events: Tropical Cyclone Charlotte and Tropical Cyclone Ellie. (see separate entry for North Queensland floods 12 January 2009).",12/01/2009,14/02/2009,February,2009,North Queensland Feb 2009,Queensland,Queensland,,EM-TRACK; EM-DAT; ICA; QLD flood history; pdf - newspaper; harden up report; http://northerngulf.com.au/floods-of-2009.html; http://www.disasterassist.gov.au/PreviousDisasters/StateandTerritories/Pages/QLD/NorthQueenslandfloods(JanuaryFebruary2009).aspx; http://www.webcitation.org/5dmAAT7Bi; http://www.theaustralian.com.au/archive/news/cyclone-charlotte-hits-fn-queensland/story-e6frg6oo-1111118539523,11,,,,,,,,,,,1,19000000,21500000,25,,,3000,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=481,EM-TRACK,EM-DAT,9,17,22,41,58,76,124,254,292,,,ICA,QLD flood history,pdf - newspaper
490,Flood,Flood - Mid and North Coast,"During the period 31 March - 1 April 2009, Coffs Harbour and the surrounding regions experienced heavy rainfall associated with severe storms.&nbsp;The highest falls were recorded at; Red Hill 445 mm, Girralong 730 mm and Wooli 129 mm. The heights of the River systems increased significantly with Coffs&nbsp;Creek peaking at 5.14 m, Bellinger River peaking at 8.6 m, and the Nambucca River peaking at 10.4 m.  The effects of the flood were compounded by the heavy rainfall that occurred in February 2009. There was extensive damage and critical infrastructure, businesses, local industry, property, crops and landslips also occurred.  There were 760 requests for help from the State Emergency Services (SES).&nbsp;The response and recovery was assisted by New South Wales Fire Brigades, Rural Fire Service, Ambulance Service, Police Force and local councils. Over 100 people were rescued, 800 people evacuated and were accommodated overnight in emergency centres and three schools&nbsp;stayed children overnight.  The Minister for Emergency Services declared Coffs Harbour, Nambucca and Bellingen local government areas, a natural disaster zone.  The Insurance Council of Australia estimated the 2009 damage at $37 million, with the 2011 estimated normalised cost of $40 million.",31/03/2009,2/04/2009,April,2009,Mid and North Coast,New South Wales,New South Wales,,EM-Track; ICA; http://www.smh.com.au/national/midnorth-coast-floods-leave-thousands-stranded-20090331-9i9g.html,,,,,,,,,5000,400,6,1,37000000,30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=490,EM-Track,ICA,9,14,,,,,,,,,,,,
484,Flood,Flood - Northern New South Wales May 2009,"On 20 May 2009 an east coast low formed off the south-east Queensland coast. In combination with a strong high pressure system in the southern Tasman Sea, gale to storm force east to south-east winds affected the northern New South Wales coast.  Consequently, heavy rain occurred over a large part of the north-east region during the period 19-23 May, with additional heavy falls on 20-21 May. This was the third major flood to occur in the Mid North Coast this year, compounding damage previously caused during the February and April floods.  Damage recorded in the region included winds of 130 km per hour at Byron Bay, closure of 240 schools, the Tweed area affected by a lightning strike disabling powerlines to the north and south of the region (12,000 homes and businesses), 16,000 people on the far north coast were without power overnight, 35,000 people isolated by floodwaters, an overall approximate 21,500 people isolated in the affected regions, and the Macleay River levee at Kempsey broke its banks inundating the township. One fatality occurred when a person attempted to cross a flooded creek in Coffs Harbor.  The State Government declared the following regions as natural disaster areas: Kempsey, Coffs Harbour, Bellingen, Nambucca, Port Macquarie-Hastings, Tweed, Byron, Ballina, Lismore, Kyogle, Richmond Valley and Clarence Valley local Government areas.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;   The Insurance Council of Australia estimated the 2009 damage at $48 million, with the 2011 normalised cost of $55 million.",20/05/2009,23/05/2009,May,2009,Northern New South Wales SE QLD,New South Wales; Queensland,New South Wales,Queensland,EM-Track; EM-DAT; ICA,11,,,,,,2,,,,,1,48000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=484,EM-Track,EM-DAT,9,17,,,,,,,,,,,,
483,Heatwave,Environmental - South-Eastern Australia Heatwave 2009,"From 27 January until 8 February a heat wave affected parts of south-eastern Australia. The heatwave came in two major episodes, 28-31 January and 6-8 February.  In much of central, southern and western Victoria, maximum temperatures widely reached their highest levels since at least 1939. In Melbourne the temperature was above 43 &deg;C for three consecutive days from 28 to 30 January, reaching a peak of 45.1 &deg;C, the second highest on record behind 45.6 &deg;C in 1939.  In southern South Australia maximum temperatures widely reached their highest levels since at least 1939. Adelaide peaked at 45.7 &deg;C on 28 January and South Australia's highest temperature was 48.2 &deg;C at Kyancutta.  There were widespread power outages across both states. In Victoria, up to 500,000 homes and businesses were left without electricity. There were also major disruptions to train services with more than 1300 trains cancelled as rails buckled and air-conditioning failed.  A Department of Human Services report from the Victorian Government found that the heatwave contributed to 374 deaths.",27/01/2009,7/02/2009,February,2009,Southern Australia,Victoria; South Australia; New South Wales; Tasmania,Victoria,South Australia,"EM-DAT; Report; Narin and Fawcett (2013); Nitchske et al., 2010; Langlois et al., 2013; Narin and Fawcett (2013)",1,,,,,,2,,,,3000,374,800000000,,,,,,,,,,,,,,,,,,,,,,,,South Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=483,,,,EM-DAT,Report,7,15,41,64,87,,,,,,,Narin and Fawcett (2013),"Nitchske et al., 2010","Langlois et al., 2013"
,Bushfire,Toodyay bushfire,"The Toodyay bushfire of 29 December 2009 was one of the most damaging bushfires in Western Australia's history. It destroyed 38 homes, burned nearly 3000 hectares of land, and caused more than $50 million in damage.",29/12/2009,29/12/2009,December,2010,Toodyay,Western Australia,Western Australia,,PDF report; PDF newspaper; http://www.theage.com.au/national/power-supply-may-have-sparked-toodyay-bushfire-20091230-ljr9.html,,,,,,,,,,,3,,7400000,50000000,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,PDF report,PDF newspaper,11,26,,,,,,,,,,,,
,Cyclone,Cyclone Ului,"Severe Tropical Cyclone UluiÊwas one of the fastest intensifyingÊtropical cyclonesÊon record, strengthening from a tropical storm to aÊCategoryÊ5 equivalentÊcyclone within a 30-hour span. Throughout Queensland, Australia, infrastructural damage from the storm amounted to A$20Êmillion (US$18Êmillion) and agricultural losses reached A$60Êmillion (US$54Êmillion).",9/03/2010,21/03/2010,March,2010,Mackay,Queensland,Queensland,,EM-DAT; wiki (check for refs); BoM,1,,,,,,2,300,60000,,,1,,80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,wiki (check for refs),7,30,,,,,,,,,,,,
510,Flood,Flood - Queensland Feb 2010,"In the last week of February through to the first week of March 2010 Queensland, Central Australia and Northern New South Wales experienced unprecedented rainfall and serious flooding in several regions. Queensland recorded the highest state wide average rainfall on 2 March, with 31.74 mm, exceeding the previous record of 31.49 mm established on 21 May 1981.  As a result the heavy deluge brought about widespread flooding to numerous rivers including Paroo, Moonie, Balonne, Dawson, Theodore, Moura, Maranoa, Warrego, Diamantina, Bulloo, Condamine, Weir, Mary, Burnett, and Comet. This had devastating impact on infrastructure including roads, railways and bridges, as well as agriculture and horticulture industries including farms, crops and live stock.   The Insurance Council of Australia estimated the 2010 damage at $46.7 million, with the 2011 estimated normalised cost of $49 million.",28/02/2010,5/03/2010,March,2010,Queensland; N NSW,Queensland; New South Wales,Queensland,New South Wales,EM-Track; EM-DAT; ICA; QLD flood history; BoM special report,11,,,,,,2,,,,,,46700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=510,EM-Track,EM-DAT,9,17,22,41,,,,,,,,ICA,QLD flood history,
506,Severe Storm,"Severe Storm - Melbourne, Victoria Mar 2010","On 6 March 2010, thunderstorms occurred in the west of Victoria, intensifying as they moved eastward. Severe thunderstorms developed to the north-west of the Melbourne metropolitan area bringing isolated severe wind gusts.  Flash flooding was widespread across the city and hailstones measuring 2 - 10 cm caused damage to homes and buildings including the Southern Cross Station.  Shepparton experienced localised flooding, hail and wind damage prior to the storm moving south.  The severe thunderstorms resulted in over 7500 calls to the Victorian State Emergency Service, prompting crews from New South Wales, South Australia, Western Australia and Tasmania to help in the clean up.  Financial assistance for affected communities was announced by the Federal Attorney-General on 12 March 2010.  The Insurance Council of Australia estimated the 2010 damage at $1044 million, with the 2011 estimated normalised cost of $1160 million.",6/03/2010,7/03/2010,March,2010,Melbourne,Victoria,Victoria,,EM-Track; ICA; EM-DAT; wiki (refs); Buckley 2010,16,,,,,,2,,20000,,100,,1044000000,,2200,Transport severely disrupted,,2200,,100,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=506,EM-Track,ICA,9,14,22,35,,,,,,,,EM-DAT,wiki (refs),
509,Severe Storm,Severe Storm - Perth,"Severe thunderstorms occurred on the afternoon and evening of Monday 22 March 2010 in the central west, lower west, and adjacent parts of the south-west great southern and central wheat belt districts of Western Australia. Severe storms moved through Perth between 15:30 - 18:00 with large hail at record levels, heavy rain and severe winds that resulted in considerable damage.  The storm was responsible for record numbers of power outages (over 150,000 properties were without power at the peak), and the number of requests for assistance from FESA and SES totalled more than 3000, the most significant number since the May 1994 wind storms. Approximately 15 schools were closed the following day due to damage, while many hospitals were also damaged.  Large hail occurred in a strip from the northern coastal suburbs to south Perth. For many suburbs, particularly from Osborne Park to Crawley hail from 4-6 cm was large enough to badly damage cars, break car windscreens and windows of houses.&nbsp;Hail blocked gutters and drains worsening the impacts of flooding. Many properties were inundated with water including the University of Western Australia's library. A landslip at Kings Park caused the evacuation of several apartment towers as mud inundated lower levels threatening their stability.  The Insurance Council of Australia estimated the 2010 damage at $1053 million with&nbsp;the 2011 estimated normalised cost at $1019 million.",22/03/2010,22/03/2010,March,2010,Perth,Western Australia,Western Australia,,EM-Track; ICA; EM-DAT; Buckley 2010,16,,,,,,2,100,,,,,1053000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=509,EM-Track,ICA,9,14,22,,,,,,,,,EM-DAT,,
502,Bushfire,Bushfire - Perth Hill Bushfires,"On the weekend of 5 and 6 February 2011, two major bushfires affected metropolitan Perth. One fire affected the suburbs of Roleystone and Kelmscott in the City of Armadale, south-east of Perth. The other affected the suburbs of Red Hill, Herne Hill, Millendon, Baskerville and Gidgegannup in the City of Swan, in the north-east.  The Bureau of Meteorology had issued a Fire Weather Warning and a Total Fire Ban had been declared for all the fire-affected areas prior to the commencement of the fires.  Seventy-one homes were destroyed and an estimated 39 homes damaged by the Roleystone fire, which was started accidentally by angle-grinder sparks. Approximately 440 ha were burned at Roleystone and 1100 ha burned at Red Hill.  Approximately 517 families were evacuated and at least 12 people were hospitalised.  On Monday 7 February 2011 Western Australian Premier Colin Barnett declared the bushfire-ravaged areas of Roleystone, Kelmscott and Red Hill natural disaster zones.  The Insurance Council of Australia estimated the preliminary 2011 damage at $35 million.",5/02/2011,7/02/2011,February,2011,Perth Hill Bushfires,Western Australia,Western Australia,,EM-Track; ICA; CRC report; house loss report; http://www.watoday.com.au/wa-news/bushfire-report-half-of-hills-residents-had-no-fire-plan-20110922-1knc2.html,,,,,,,2,517,,,12,,35128000,,,,,37,72,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=502,EM-Track,ICA,9,14,26,45,,,,,,,,CRC report,house loss report,
591,Bushfire,Bushfire - Southern Queensland,"From August to October 2011 approximately 345 fires occurred in Queensland over 42 local government areas. These areas included Baloone, Banana, Barcaldine, Barcoo, Blackall-Tambo, Boulia, Bulloo, Bundaberg, Burdekin, Burke, Carpentaria, Cassowary Coast, Central Highlands, Charters Towers, Cloncurry, Croydon Shire Council, Diamantina, Etheridge, Flinders, Fraser Coast, Gladstone, Gympie, Hinchinbrook, Isaac, Longreach, Mackay, Maranoa, McKinlay, Mount Isa, Murweh, North Burnett, Paroo, Richmond, Rockhampton, South Burnett, Southern Downs, Tablelands, Toowoomba, Townsville, Western Downs, Whitsunday and Winton.  The most severely affected areas were farmland west of the Great Dividing Range in the southern half of the state, as well as some areas around Mount Morgan in central Queensland and Townsville, and Charters Towers in the north.  In October 2011, Commonwealth financial assistance was made available to the Queensland Government through the NDRRA.",1/08/2011,31/10/2011,October,2011,Southern Queensland,Queensland,Queensland,,report; EM-Track; PDF newspaper,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=591,report,EM-Track,7,17,,,,,,,,,,,,
587,Bushfire,"Bushfire - Augusta, Margaret River","On 23 November 2011 a fire broke containment lines from a prescribed burn in Leeuwin-Naturaliste National Park, forcing hundreds to evacuate their homes.  Approximately 300 people were expected to register at a centre that was opened at the Margaret River Cultural Centre. Residents were forced to evacuate over a three day period. Some residents, whose houses remain intact, were unable to return home due to pollution from asbestos and other contaminants spread by the fire.  The Margaret River fire was brought under control on 26 November 2011. In total 3400 ha, 32 houses, five sheds, nine chalets, and one shop in the coastal communities of Prevelly, Redgate and Gnarabup were destroyed by the fire.  A new fire started at Nannup on 2 December 2011 also from a prescribed burn that broke containment lines. It threatened more than 200 homes and forced evacuations in Augusta and Molloy Island. Approximately 55,150 ha were burnt through and a small amount of property was lost.  Many fires were ablaze in Western Australia during this period; on 24 November there were a total of 13 fire fronts burning.  Premier Colin Barnett declared the fires an 'Eligible Natural Disaster' for the purposes of the Western Australia Natural Disaster Relief and Recovery Arrangements, with funding to be provided from FESA and the Commonwealth Government.  The Insurance Council of Australia estimated the preliminary 2011 damage at $53 million.",23/11/2011,6/12/2011,December,2011,"Augusta, Margaret River",Western Australia,Western Australia,,EM-Track; DFES report; EM-DAT; ICA,24,,,,,,2,,,,,,53450000,,,,,26,39,,13,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=587,EM-Track,DFES report,9,22,30,,,,,,,,,EM-DAT,,
503,Cyclone,Cyclone Yasi,"Cyclone Yasi developed as a tropical low north-west of Fiji on 29 January 2011. On 30 January, it was named Yasi by the Fiji Meteorological Service. On 2 February, it was upgraded to a Category 5 system and made landfall near Mission Beach (138 km south of Cairns) between midnight and 1 am (AEST) early on Thursday 3 February. It weakened to a tropical low near Mount Isa around 10 pm on 3 February.  In response to warnings about the expected severity of the cyclone, and possible storm surges, approximately 10,000 northern Queenslanders living in low-lying areas evacuated to more than 100 official evacuation centres. Significant numbers were accommodated in unofficial evacuation centres established by communities and church groups. Thousands of people left the area and sought refuge with family and friends.  Flights out of the region were fully booked. The entire hospital population, more than 300 patients, were evacuated to other regional hospitals and Brisbane by the the Australian Defence Force, Royal Flying Doctor Service and other methods.&nbsp; This was an unprecedented evacuation effort.  The eye of the cyclone passed over Dunk Island and Mission Beach between Innisfail and Townsville bringing significant winds, the highest estimated at 285 km per hour. Considerable damage occurred to the towns of Tully, Cardwell, Tully Heads, Innisfail, Ingham, Mission Beach, El Arish, Silkwood and Silky Oak and localities, however, the cyclone&rsquo;s worst impact missed the major centres of Townsville and Cairns. Overall, approximately 1000 people reported significant damage to their homes. Other impacts include power loss to more than 200,000 properties, cars were found metres away from where they were left and boats were piled on top of each other in some regions.  Rainfall totals for the 24 hour period to 9 am Thursday 3 February were 200-300 mm in the area between Cairns and Ayr, causing some flooding. A 5 m tidal surge was observed at the storm tide gauge at Cardwell. Other sea inundation occurred between the beaches north of Cairns and Alva Beach, and there was some inundation in parts of the city of Townsville.  The Australian Bureau of Agriculture and Resource Economics and Sciences estimated the cyclone caused a $300 million hit to agriculture, particularly affecting banana and sugarcane crops.  The Federal Government processed over $250 million worth of recovery grants in the first three weeks after the storm through Centrelink. Financial help was also available in the form of concessional loans for cyclone hit farmers up to $650,000.  There was one recorded death.  The Insurance Council of Australia estimated the preliminary 2011 damage at $1412 million.",3/02/2011,3/02/2011,February,2011,Yasi,Queensland,Queensland,,EM-Track; EM-DAT; ICA; BoM; wiki,11,,,,,,2,,,,,1,1412239000,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=503,EM-Track,EM-DAT,9,17,22,27,,,,,,,,ICA,BoM,
501,Flood,Flood - Queensland Nov 2010,"In late November 2010, rain began falling in Queensland. By January 2011 extensive flooding had occurred to 75 per cent of the state and a disaster zone was declared. In total, 33 people lost their lives in flood and cyclone events and three people were still listed missing as of March 2012.  On 25 December 2010, Cyclone Tasha crossed the northern Queensland coast and brought disaster to every river system south of the Tropic of Capricorn and as far west as Longreach and Charleville.  The flooding engulfed Alpha, Jericho, Chinchilla, Dalby, Theodore, Warwick, Bundaberg, Gayndah, Munduberra, Emerald, Rockhampton, Condamine and St George. The Condamine River, the Balonne River, the Burnett River, the Comet River, the Dawson River and the Nagoa River reached flood peaks never before recorded.  On 10 January 2011 a wall of water swept through Toowoomba, then travelled west, flooding Oakey, Dalby, Chinchilla and Condamine for a second time, causing flooding through the Lockyer Valley, including Murphy&rsquo;s Creek, Postman&rsquo;s Ridge, Helidon, Grantham, Laidley, Lowood, Fernvale and Forrest Hill.  The floodwaters affected the Bremer, Lockyer and Brisbane River systems, reaching heights that engulfed Ipswich, Goodna, Gailes, Karalee and suburbs of Brisbane.  During this period approximately 3572 businesses were inundated.  There were 5900 people evacuated from 3600 homes. Commercial loss was approximately $4 billion across the mining, agriculture and tourism sectors. Nineteen thousand kilometres of roads were damaged. Three major ports were significantly affected. More than 28 per cent of the Queensland rail network was left twisted and displaced. An estimated 28,000 homes would need to be rebuilt while vast numbers of dwellings require extensive repairs.  The judicial inquiry into Queensland's floods started on 10 February 2011, a final report was published in March 2012.  The Insurance Council of Australia estimates the 2011 damage at $2.38 billion with an estimated total reserve of $3.71 billion. Further payouts will be made to claimants for progress payments for rebuilding and business interruption. The insurance costs totalled $1.33 billion for Cyclone Yasi. Areas as far south asÊBrisbaneÊwere affected by Tasha. There, roughly 1,100 emergency calls for help were made as hundreds of drivers became trapped on flooded roads.[15]ÊInNew South Wales, 175 people were evacuated to emergency shelters as the flooding spread south. An additional 800 people were isolated in the towns of Urbenville and Bonalbo on 28ÊDecember as flood waters blocked off roads.[12] By 28ÊDecember, nearly half of Queensland was flooded and preliminary damage estimates exceeded A$1.4Êbillion. Total economic losses also reached A$6Êbillion, roughly 0.5% of the nation'sÊgross domestic product.[16]ÊIn response to the severe flooding, the Government of Queensland declared numerous towns as disaster areas, allowing for federal funds to be used. By 27ÊDecember, flood waters began to recede in Babinda and Gordonvale, leaving behind debris and thick black mud.[10]ÊThe following day, Prime MinisterJulia GillardÊannounced that additionalÊBlackhawk helicoptersÊwould be sent to assist in evacuation efforts.[11]",30/11/2010,17/01/2011,January,2011,Queensland,Queensland,Queensland,,EM-Track; ICA; van den Honert and McAneney (2011); QLD flood history; EM-DAT; http://en.wikipedia.org/wiki/Cyclone_Tasha; http://www.smh.com.au/environment/weather/cyclone-tasha-crosses-queensland-coast-20101225-19792.html,71,,,,,,,12000,200000,,,33,2387624000,2550000000,,,,18000,28000,29000,,,,,,,,,,3572,,,,19000km,,,,,,,,http://www.emknowledge.gov.au/resource/?id=501,EM-Track,ICA,9,14,50,69,77,121,,,,,,van den Honert and McAneney (2011),QLD flood history,EM-DAT
507,Flood,Flood - Victoria Jan 2011,"Large amounts of tropical air combined with a low pressure trough brought heavy rain to areas of south-east Australia. The heaviest rain spread into Victoria on 13 and 14 January 2011, resulting in record rainfall in parts of west and north-west Victoria. This, combined with saturated conditions of the catchment and floodplains, caused severe flooding.  Jeparit recorded the highest daily rainfall of 161.2 mm, with seven other monitoring stations breaking their highest daily rainfall records. Weather stations at Kyneton, Annuello, Rupanyup and Maryborough observed their highest ever rainfall total for anymonth on record.  The high moisture content in the atmosphere was greater than the equivalent to that of the northern tropical locations such as Darwin, Northern Territory.  The Wimmera, Avoca, Loddon and Campaspe river catchment areas all reached record flood peaks. The Barwon catchment and the Lerderderg River in the Werribee catchment also experienced major flooding. The towns of Charlton, Bridgewater, Carisbrook, Rochester, Horsham and Echuca experienced the greatest levels of inundation.  The flooding of the Goulburn River resulted in the drowning of a person&nbsp;in a flooded billabong near Shepparton.  The Insurance Council of Australia estimated the preliminary 2011 damage at $122 million.",12/01/2011,18/01/2011,January,2011,Victoria,Victoria,Victoria,,EM-Track; ICA; wiki (refs); flood report; BoM special report; PDF newspaper,,,,,,,,,17000,,,2,126495000,2000000000,5200,,,2700,1730,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=507,EM-Track,ICA,9,14,27,41,61,,,,,,,wiki (refs),flood report,BoM special report
